index,genres,homepage,id,keywords,original_language,popularity,release_year,title,cast,director
13,Action Adventure Western,http://disney.go.com/the-lone-ranger/,57201,texas horse survivor texas ranger partner,en,49.046956,2013,The Lone Ranger,Johnny Depp Armie Hammer William Fichtner Helena Bonham Carter James Badge Dale,Gore Verbinski
14,Action Adventure Fantasy Science Fiction,http://www.manofsteel.com/,49521,saving the world dc comics superhero based on comic book superhuman,en,99.398009,2013,Man of Steel,Henry Cavill Amy Adams Michael Shannon Kevin Costner Diane Lane,Zack Snyder
15,Adventure Family Fantasy,,2454,based on novel fictional place brother sister relationship lion human being,en,53.978602,2008,The Chronicles of Narnia: Prince Caspian,Ben Barnes William Moseley Anna Popplewell Skandar Keynes Georgie Henley,Andrew Adamson
16,Science Fiction Action Adventure,http://marvel.com/avengers_movie/,24428,new york shield marvel comic superhero based on comic book,en,144.448633,2012,The Avengers,Robert Downey Jr. Chris Evans Mark Ruffalo Chris Hemsworth Scarlett Johansson,Joss Whedon
17,Adventure Action Fantasy,http://disney.go.com/pirates/index-on-stranger-tides.html#/video/,1865,sea captain mutiny sword prime minister,en,135.413856,2011,Pirates of the Caribbean: On Stranger Tides,Johnny Depp Pen\u00e9lope Cruz Ian McShane Kevin McNally Geoffrey Rush,Rob Marshall
18,Action Comedy Science Fiction,http://www.sonypictures.com/movies/meninblack3/,41154,time travel time machine alien fictional government agency seeing the future,en,52.035179,2012,Men in Black 3,Will Smith Tommy Lee Jones Josh Brolin Michael Stuhlbarg Emma Thompson,Barry Sonnenfeld
19,Action Adventure Fantasy,http://www.thehobbit.com/,122917,corruption elves dwarves orcs middle-earth (tolkien),en,120.965743,2014,The Hobbit: The Battle of the Five Armies,Martin Freeman Ian McKellen Richard Armitage Ken Stott Graham McTavish,Peter Jackson
20,Action Adventure Fantasy,http://www.theamazingspiderman.com,1930,loss of father vigilante serum marvel comic scientific experiment,en,89.866276,2012,The Amazing Spider-Man,Andrew Garfield Emma Stone Rhys Ifans Denis Leary Campbell Scott,Marc Webb
21,Action Adventure,http://www.robinhoodthemovie.com/,20662,robin hood archer knight sherwood forest bow and arrow,en,37.668301,2010,Robin Hood,Russell Crowe Cate Blanchett Max von Sydow William Hurt Mark Strong,Ridley Scott
22,Adventure Fantasy,http://www.thehobbit.com/,57158,elves dwarves orcs hobbit dragon,en,94.370564,2013,The Hobbit: The Desolation of Smaug,Martin Freeman Ian McKellen Richard Armitage Ken Stott Graham McTavish,Peter Jackson
23,Adventure Fantasy,http://www.goldencompassmovie.com/index_german.html,2268,england compass experiment lordship uncle,en,42.990906,2007,The Golden Compass,Dakota Blue Richards Nicole Kidman Daniel Craig Sam Elliott Eva Green,Chris Weitz
24,Adventure Drama Action,,254,film business screenplay show business film making film producer,en,61.22601,2005,King Kong,Naomi Watts Jack Black Adrien Brody Thomas Kretschmann Colin Hanks,Peter Jackson
25,Drama Romance Thriller,http://www.titanicmovie.com,597,shipwreck iceberg ship panic titanic,en,100.025899,1997,Titanic,Kate Winslet Leonardo DiCaprio Frances Fisher Billy Zane Kathy Bates,James Cameron
26,Adventure Action Science Fiction,http://marvel.com/captainamericapremiere,271110,civil war war marvel comic sequel superhero,en,198.372395,2016,Captain America: Civil War,Chris Evans Robert Downey Jr. Scarlett Johansson Sebastian Stan Anthony Mackie,Anthony Russo
27,Thriller Action Adventure Science Fiction,,44833,fight u.s. navy mind reading hong kong soccer,en,64.928382,2012,Battleship,Taylor Kitsch Alexander Skarsg\u00e5rd Rihanna Brooklyn Decker Tadanobu Asano,Peter Berg
28,Action Adventure Science Fiction Thriller,http://www.jurassicworld.com/,135397,monster dna tyrannosaurus rex velociraptor island,en,418.708552,2015,Jurassic World,Chris Pratt Bryce Dallas Howard Irrfan Khan Vincent D'Onofrio Nick Robinson,Colin Trevorrow
29,Action Adventure Thriller,http://www.skyfall-movie.com,37724,spy secret agent sociopath killer art gallery,en,93.004993,2012,Skyfall,Daniel Craig Judi Dench Javier Bardem Ralph Fiennes Naomie Harris,Sam Mendes
30,Action Adventure Fantasy,http://www.sonypictures.com/movies/spider-man2/,558,dual identity love of one's life pizza boy marvel comic sequel,en,35.149586,2004,Spider-Man 2,Tobey Maguire Kirsten Dunst James Franco Alfred Molina Rosemary Harris,Sam Raimi
31,Action Adventure Science Fiction,http://marvel.com/ironman3,68721,terrorist war on terror tennessee malibu marvel comic,en,77.68208,2013,Iron Man 3,Robert Downey Jr. Gwyneth Paltrow Don Cheadle Guy Pearce Rebecca Hall,Shane Black
32,Family Fantasy Adventure,http://disney.go.com/wonderland/,12155,based on novel fictional place queen fantasy alice in wonderland,en,78.530105,2010,Alice in Wonderland,Mia Wasikowska Johnny Depp Anne Hathaway Helena Bonham Carter Crispin Glover,Tim Burton
33,Adventure Action Science Fiction Thriller,,36668,mutant marvel comic based on comic book superhuman beast,en,3.857526,2006,X-Men: The Last Stand,Hugh Jackman Halle Berry Ian McKellen Patrick Stewart Famke Janssen,Brett Ratner
34,Animation Family,,62211,monster dormitory games animation best friend,en,89.186492,2013,Monsters University,Billy Crystal John Goodman Steve Buscemi Helen Mirren Noah Johnston,Dan Scanlon
35,Science Fiction Action Adventure,http://www.transformersmovie.com/,8373,egypt sun chaos symbol artifact,en,21.939663,2009,Transformers: Revenge of the Fallen,Shia LaBeouf Megan Fox Josh Duhamel Rainn Wilson Tyrese Gibson,Michael Bay
36,Science Fiction Action Adventure,http://www.transformersmovie.com,91314,sequel alien transformers giant robot robot,en,116.840296,2014,Transformers: Age of Extinction,Mark Wahlberg Stanley Tucci Kelsey Grammer Nicola Peltz Jack Reynor,Michael Bay
37,Fantasy Adventure Family,http://www.ozthegreatandpowerfulmovie.com,68728,circus witch magic hope illusion,en,46.985445,2013,Oz: The Great and Powerful,James Franco Mila Kunis Rachel Weisz Michelle Williams Zach Braff,Sam Raimi
38,Action Adventure Fantasy,http://www.theamazingspiderman.com,102382,obsession marvel comic sequel based on comic book electrocution,en,89.270217,2014,The Amazing Spider-Man 2,Andrew Garfield Emma Stone Jamie Foxx Dane DeHaan Campbell Scott,Marc Webb
39,Adventure Action Science Fiction,http://disney.go.com/tron/,20526,artificial intelligence secret identity computer program dystopia computer,en,73.79505,2010,TRON: Legacy,Garrett Hedlund Jeff Bridges Olivia Wilde Bruce Boxleitner Yaya DaCosta,Joseph Kosinski
40,Animation Family Adventure Comedy,http://www.disney.go.com/cars/,49013,car race sequel comedy anthropomorphism best friend,en,49.98659,2011,Cars 2,Owen Wilson Larry the Cable Guy Michael Caine Emily Mortimer John Turturro,John Lasseter
41,Adventure Action Thriller Science Fiction,http://greenlanternmovie.warnerbros.com/,44912,dc comics transformation superhero alien alien infection,en,51.872839,2011,Green Lantern,Ryan Reynolds Blake Lively Peter Sarsgaard Tim Robbins Mark Strong,Martin Campbell
42,Animation Family Comedy,http://disney.go.com/toystory/,10193,hostage college toy barbie animation,en,59.995418,2010,Toy Story 3,Tom Hanks Tim Allen Ned Beatty Joan Cusack Michael Keaton,Lee Unkrich
43,Action Science Fiction Thriller,https://www.warnerbros.com/terminator-salvation,534,saving the world artificial intelligence prophecy san francisco cyborg,en,71.862892,2009,Terminator Salvation,Christian Bale Sam Worthington Anton Yelchin Moon Bloodgood Bryce Dallas Howard,McG
44,Action,http://www.furious7.com/,168259,car race speed revenge suspense car,en,102.322217,2015,Furious 7,Vin Diesel Paul Walker Dwayne Johnson Michelle Rodriguez Tyrese Gibson,James Wan
45,Action Drama Horror Science Fiction Thriller,http://www.worldwarzmovie.com,72190,dystopia apocalypse zombie nuclear weapons multiple perspectives,en,81.834855,2013,World War Z,Brad Pitt Mireille Enos Abigail Hargrove Sterling Jerins James Badge Dale,Marc Forster
46,Action Adventure Fantasy Science Fiction,http://www.x-menmovies.com/,127585,1970s mutant time travel marvel comic based on comic book,en,118.078691,2014,X-Men: Days of Future Past,Hugh Jackman James McAvoy Michael Fassbender Jennifer Lawrence Halle Berry,Bryan Singer
47,Action Adventure Science Fiction,,54138,spacecraft friendship sequel futuristic space,en,78.291018,2013,Star Trek Into Darkness,Chris Pine Zachary Quinto Zoe Saldana Karl Urban Simon Pegg,J.J. Abrams
48,Action Family Fantasy,http://jackthegiantkiller.warnerbros.com,81005,based on fairy tale giant,en,43.349855,2013,Jack the Giant Slayer,Nicholas Hoult Eleanor Tomlinson Ewan McGregor Stanley Tucci Ian McShane,Bryan Singer
49,Drama Romance,,64682,based on novel infidelity obsession hope 3d,en,61.196071,2013,The Great Gatsby,Leonardo DiCaprio Tobey Maguire Carey Mulligan Joel Edgerton Elizabeth Debicki,Baz Luhrmann
50,Adventure Fantasy Action Romance,http://disney.go.com/disneypictures/princeofpersia,9543,persia sandstorm brother against brother armageddon regent,en,62.169881,2010,Prince of Persia: The Sands of Time,Jake Gyllenhaal Gemma Arterton Ben Kingsley Alfred Molina Steve Toussaint,Mike Newell
51,Action Science Fiction Adventure,http://www.pacificrimmovie.com/,68726,dystopia giant robot giant monster apocalypse imax,en,56.523205,2013,Pacific Rim,Idris Elba Charlie Hunnam Charlie Day Ron Perlman Burn Gorman,Guillermo del Toro
52,Action Science Fiction Adventure,http://www.transformersmovie.com/,38356,moon spacecraft traitor bodyguard alien planet,en,28.529607,2011,Transformers: Dark of the Moon,Shia LaBeouf John Malkovich Ken Jeong Frances McDormand Josh Duhamel,Michael Bay
53,Adventure Action,http://www.indianajones.com/site/index.html,217,saving the world riddle whip treasure mexico city,en,75.674458,2008,Indiana Jones and the Kingdom of the Crystal Skull,Harrison Ford Cate Blanchett Shia LaBeouf Ray Winstone Karen Allen,Steven Spielberg
54,Adventure Animation Family,http://movies.disney.com/the-good-dinosaur,105864,tyrannosaurus rex friends alternate history dinosaur fear,en,51.692953,2015,The Good Dinosaur,Raymond Ochoa Jack Bright Jeffrey Wright Frances McDormand Maleah Nipay-Padilla,Peter Sohn
55,Animation Adventure Comedy Family Action,http://disney.go.com/brave/#/home,62177,scotland rebel bravery kingdom archer,en,125.114374,2012,Brave,Kelly Macdonald Julie Walters Billy Connolly Emma Thompson Kevin McKidd,Brenda Chapman
56,Action Adventure Science Fiction,http://www.startrekmovie.com/,188927,sequel stranded hatred space opera,en,65.352913,2016,Star Trek Beyond,Chris Pine Zachary Quinto Karl Urban Simon Pegg Zoe Saldana,Justin Lin
57,Animation Family,http://disney.go.com/disneypictures/wall-e/,10681,romantic comedy,en,66.390712,2008,WALL·E,Ben Burtt Elissa Knight Jeff Garlin Fred Willard John Ratzenberger,Andrew Stanton
58,Action Comedy Crime Thriller,,5174,ambassador,en,22.57178,2007,Rush Hour 3,Chris Tucker Jackie Chan Hiroyuki Sanada Max von Sydow Yvan Attal,Brett Ratner
59,Action Adventure Science Fiction,http://www.sonypictures.com/movies/2012,14161,civilization natural disaster end of the world disaster apocalypse,en,45.274225,2009,2012,John Cusack Amanda Peet Chiwetel Ejiofor Thandie Newton Oliver Platt,Roland Emmerich
60,Animation Drama,http://disney.go.com/disneypictures/achristmascarol/?cmp=dcom_VAN_WDSHE_ACC_van_dcomcc__Extl,17979,holiday based on novel victorian england money christmas eve,en,39.744242,2009,A Christmas Carol,Gary Oldman Jim Carrey Steve Valentine Daryl Sabara Sage Ryan,Robert Zemeckis
61,Science Fiction Fantasy Action Adventure,http://www.jupiterascending.com,76757,jupiter space woman director 3d interspecies romance,en,85.36908,2015,Jupiter Ascending,Mila Kunis Channing Tatum Sean Bean Eddie Redmayne Douglas Booth,Lilly Wachowski
62,Action Adventure,http://legendoftarzan.com,258489,africa feral child tarzan jungle animal attack,en,42.741719,2016,The Legend of Tarzan,Alexander Skarsg\u00e5rd Margot Robbie Christoph Waltz Samuel L. Jackson Djimon Hounsou,David Yates
63,Adventure Family Fantasy,,411,saving the world witch based on novel brother sister relationship self sacrifice,en,67.391328,2005,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",William Moseley Anna Popplewell Skandar Keynes Georgie Henley Liam Neeson,Andrew Adamson
64,Science Fiction,http://www.foxmovies.com/movies/x-men-apocalypse,246655,mutant supernatural powers marvel comic superhero based on comic book,en,139.272042,2016,X-Men: Apocalypse,James McAvoy Michael Fassbender Jennifer Lawrence Nicholas Hoult Oscar Isaac,Bryan Singer
65,Drama Action Crime Thriller,http://thedarkknight.warnerbros.com/dvdsite/,155,dc comics crime fighter secret identity scarecrow sadism,en,187.322927,2008,The Dark Knight,Christian Bale Heath Ledger Aaron Eckhart Michael Caine Maggie Gyllenhaal,Christopher Nolan
66,Animation Comedy Family Adventure,http://disney.go.com/disneypictures/up/,14160,age difference central and south america balloon animation floating in the air,en,92.201962,2009,Up,Ed Asner Christopher Plummer Jordan Nagai Bob Peterson Delroy Lindo,Pete Docter
67,Animation Family Adventure Science Fiction,http://www.monstersvsaliens.com/,15512,alien giant robot duringcreditsstinger,en,36.167578,2009,Monsters vs Aliens,Seth Rogen Reese Witherspoon Hugh Laurie Paul Rudd Kiefer Sutherland,Conrad Vernon
68,Action Science Fiction Adventure,http://www.ironmanmovie.com/,1726,middle east arms dealer malibu marvel comic superhero,en,120.725053,2008,Iron Man,Robert Downey Jr. Terrence Howard Jeff Bridges Shaun Toub Gwyneth Paltrow,Jon Favreau
69,Adventure Drama Family,http://www.hugomovie.com/,44826,library clock film director key toy,en,32.319043,2011,Hugo,Ben Kingsley Sacha Baron Cohen Asa Butterfield Chlo\u00eb Grace Moretz Ray Winstone,Martin Scorsese
70,Action Adventure Comedy Science Fiction Western,,8487,steampunk based on tv series steam locomotive drag,en,40.748915,1999,Wild Wild West,Will Smith Kevin Kline Kenneth Branagh Salma Hayek M. Emmet Walsh,Barry Sonnenfeld
71,Adventure Action Fantasy,http://www.themummy.com/,1735,,en,60.034162,2008,The Mummy: Tomb of the Dragon Emperor,Brendan Fraser Jet Li John Hannah Maria Bello Luke Ford,Rob Cohen
72,Action Adventure Crime Fantasy Science Fiction,http://www.suicidesquad.com/,297761,dc comics shared universe anti hero secret mission villain,en,90.23792,2016,Suicide Squad,Will Smith Margot Robbie Joel Kinnaman Viola Davis Jared Leto,David Ayer
73,Fantasy Comedy Family,http://www.evanalmighty.com/,2698,father son relationship daily life married couple support father,en,27.082182,2007,Evan Almighty,Steve Carell Lauren Graham John Goodman Jimmy Bennett John Michael Higgins,Tom Shadyac
74,Action Science Fiction,http://www.edgeoftomorrowmovie.com/,137113,deja vu time warp restart dystopia war,en,79.456485,2014,Edge of Tomorrow,Tom Cruise Emily Blunt Brendan Gleeson Bill Paxton Jonas Armstrong,Doug Liman
75,Adventure Action,,9804,ocean tattoo mutant water dystopia,en,44.640292,1995,Waterworld,Kevin Costner Chaim Girafi Rick Aviles R. D. Call Zitto Kazann,Kevin Reynolds
76,Adventure Action Thriller Science Fiction,http://www.gijoemovie.com/,14869,terrorist secret hostage technology warhead,en,32.852443,2009,G.I. Joe: The Rise of Cobra,Dennis Quaid Channing Tatum Marlon Wayans Sienna Miller Joseph Gordon-Levitt,Stephen Sommers
77,Drama Comedy Animation Family,http://movies.disney.com/inside-out,150540,dream cartoon imaginary friend animation family,en,128.655964,2015,Inside Out,Amy Poehler Phyllis Smith Richard Kind Bill Hader Lewis Black,Pete Docter
78,Family Adventure Drama Fantasy,http://movies.disney.com/the-jungle-book-2016,278927,based on novel snake wolf elephant tiger,en,94.199316,2016,The Jungle Book,Neel Sethi Bill Murray Ben Kingsley Idris Elba Scarlett Johansson,Jon Favreau
79,Adventure Action Science Fiction,http://www.ironmanmovie.com/,10138,malibu marvel comic superhero based on comic book revenge,en,77.300194,2010,Iron Man 2,Robert Downey Jr. Gwyneth Paltrow Don Cheadle Scarlett Johansson Mickey Rourke,Jon Favreau
80,Adventure Fantasy Drama,http://www.snowwhiteandthehuntsman.com/,58595,queen magic fairy tale immortality forest,en,77.178973,2012,Snow White and the Huntsman,Kristen Stewart Charlize Theron Chris Hemsworth Sam Claflin Ian McShane,Rupert Sanders
81,Fantasy Adventure Action Family Romance,http://movies.disney.com/maleficent,102651,fairy tale villain sleeping beauty dark fantasy based on fairy tale,en,110.620647,2014,Maleficent,Angelina Jolie Elle Fanning Sharlto Copley Sam Riley Juno Temple,Robert Stromberg
82,Science Fiction Action Drama Thriller,http://www.dawnofapes.com/,119450,leader colony post-apocalyptic dystopia forest,en,243.791743,2014,Dawn of the Planet of the Apes,Andy Serkis Jason Clarke Gary Oldman Keri Russell Toby Kebbell,Matt Reeves
83,Action Adventure Science Fiction Romance,,79698,,en,2.418535,2015,The Lovers,Josh Hartnett Simone Kessell Tamsin Egerton Alice Englert Bipasha Basu,Roland Joff\u00e9
84,Drama Action Adventure Fantasy,,64686,japan suicide samurai based on true story samurai sword,en,41.796339,2013,47 Ronin,Keanu Reeves Hiroyuki Sanada Kou Shibasaki Tadanobu Asano Min Tanaka,Carl Rinsch
85,Action Adventure Science Fiction,http://www.captainamericathewintersoldiermovie.com,100402,washington d.c. future shield marvel comic superhero,en,72.225265,2014,Captain America: The Winter Soldier,Chris Evans Samuel L. Jackson Scarlett Johansson Robert Redford Sebastian Stan,Anthony Russo
86,Comedy Adventure Fantasy Animation Family,http://www.shrekforeverafter.com/,10192,ogre 3d,en,44.041186,2010,Shrek Forever After,Mike Myers Eddie Murphy Cameron Diaz Antonio Banderas Julie Andrews,Mike Mitchell
87,Adventure Family Mystery Science Fiction,http://movies.disney.com/tomorrowland,158852,inventor apocalypse destiny imax dreamer,en,130.311355,2015,Tomorrowland,Britt Robertson George Clooney Raffey Cassidy Thomas Robinson Hugh Laurie,Brad Bird
88,Adventure Family Animation Action Comedy,http://movies.disney.com/big-hero-6,177572,brother brother relationship hero talent revenge best friend,en,203.73459,2014,Big Hero 6,Scott Adsit Ryan Potter Daniel Henney T.J. Miller Jamie Chung,Chris Williams
89,Family Animation Comedy Adventure,http://disney.go.com/wreck-it-ralph,82690,support group product placement bullying racing arcade,en,62.341073,2012,Wreck-It Ralph,John C. Reilly Sarah Silverman Jack McBrayer Jane Lynch Alan Tudyk,Rich Moore
90,Adventure Animation Family Fantasy,,5255,santa claus nerd faith gift bell,en,47.323228,2004,The Polar Express,Tom Hanks Michael Jeter Nona Gaye Peter Scolari Eddie Deezen,Robert Zemeckis
91,Action Adventure Science Fiction,http://www.warof1996.com,47933,alternate history alien invasion,en,48.775723,2016,Independence Day: Resurgence,Liam Hemsworth Jeff Goldblum Bill Pullman Maika Monroe Sela Ward,Roland Emmerich
92,Fantasy Adventure Animation Family,http://www.howtotrainyourdragon.com/,10191,flying blacksmith arena island night,en,67.263269,2010,How to Train Your Dragon,Jay Baruchel Gerard Butler Craig Ferguson America Ferrera Jonah Hill,Chris Sanders
93,Action Thriller Science Fiction,,296,saving the world artificial intelligence man vs machine cyborg killer robot,en,69.405188,2003,Terminator 3: Rise of the Machines,Arnold Schwarzenegger Nick Stahl Claire Danes Kristanna Loken David Andrews,Jonathan Mostow
94,Action Science Fiction Adventure,http://marvel.com/guardians,118340,marvel comic spaceship space outer space orphan,en,481.098624,2014,Guardians of the Galaxy,Chris Pratt Zoe Saldana Dave Bautista Vin Diesel Bradley Cooper,James Gunn
95,Adventure Drama Science Fiction,http://www.interstellarmovie.net/,157336,saving the world artificial intelligence father son relationship single parent nasa,en,724.247784,2014,Interstellar,Matthew McConaughey Jessica Chastain Anne Hathaway Michael Caine Casey Affleck,Christopher Nolan
96,Action Thriller Science Fiction Mystery Adventure,http://inceptionmovie.warnerbros.com/,27205,loss of lover dream kidnapping sleep subconsciousness,en,167.58371,2010,Inception,Leonardo DiCaprio Joseph Gordon-Levitt Ellen Page Tom Hardy Ken Watanabe,Christopher Nolan
97,Action Adventure Drama Horror Science Fiction,,315011,monster godzilla giant monster destruction kaiju,ja,9.476999,2016,Shin Godzilla,Hiroki Hasegawa Yutaka Takenouchi Satomi Ishihara Kengo Kora Matsuo Satoru,Hideaki Anno
98,Adventure Fantasy Action,http://www.thehobbit.com/,49051,riddle elves dwarves orcs middle-earth (tolkien),en,108.849621,2012,The Hobbit: An Unexpected Journey,Ian McKellen Martin Freeman Richard Armitage Andy Serkis Cate Blanchett,Peter Jackson
99,Action Crime Thriller,,9799,street gang car race undercover auto-tuning los angeles,en,6.909942,2001,The Fast and the Furious,Paul Walker Vin Diesel Michelle Rodriguez Jordana Brewster Rick Yune,Rob Cohen
100,Fantasy Drama Thriller Mystery Romance,http://www.benjaminbutton.com/,4922,diary navy funeral tea travel,en,60.269279,2008,The Curious Case of Benjamin Button,Cate Blanchett Brad Pitt Tilda Swinton Julia Ormond Elle Fanning,David Fincher
101,Action Science Fiction Adventure,http://www.x-menfirstclassmovie.com/,49538,cia mutant mine marvel comic superhero,en,3.195174,2011,X-Men: First Class,James McAvoy Michael Fassbender Jennifer Lawrence Kevin Bacon Rose Byrne,Matthew Vaughn
102,Action Adventure Science Fiction,http://www.thehungergames.movie/,131634,revolution strong woman dystopia game of death 3d,en,127.284427,2015,The Hunger Games: Mockingjay - Part 2,Jennifer Lawrence Josh Hutcherson Liam Hemsworth Woody Harrelson Elizabeth Banks,Francis Lawrence
103,Fantasy Adventure Action Comedy Drama,http://disney.go.com/disneypictures/sorcerersapprentice/,27022,witch fire wolf fountain magic,en,35.580815,2010,The Sorcerer's Apprentice,Nicolas Cage Jay Baruchel Monica Bellucci Alfred Molina Teresa Palmer,Jon Turteltaub
104,Adventure Action Drama Thriller,http://www2.warnerbros.com/poseidon/,503,new year's eve fire drowning cataclysm loss of father,en,21.133748,2006,Poseidon,Kurt Russell Richard Dreyfuss Josh Lucas Jacinda Barrett Emmy Rossum,Wolfgang Petersen
105,Fantasy,http://movies.disney.com/alice-through-the-looking-glass,241259,based on novel clock queen sequel alice in wonderland,en,56.268916,2016,Alice Through the Looking Glass,Johnny Depp Mia Wasikowska Anne Hathaway Helena Bonham Carter Alan Rickman,James Bobin
106,Fantasy Adventure Animation Comedy Family,http://www.shrekthethird.com/flash/index.html,810,ambush sadness stage liberation of prisoners island,en,42.986467,2007,Shrek the Third,Mike Myers Eddie Murphy Cameron Diaz Julie Andrews Antonio Banderas,Chris Miller
107,Action Adventure Fantasy,http://www.warcraft-themovie.com/,68735,video game elves orcs magic chase,en,63.148529,2016,Warcraft,Paula Patton Travis Fimmel Ben Foster Robert Kazinsky Dominic Cooper,Duncan Jones
108,Science Fiction Action Thriller Adventure,http://www.terminatormovie.com/,87101,saving the world artificial intelligence cyborg killer robot future,en,202.042635,2015,Terminator Genisys,Arnold Schwarzenegger Jason Clarke Emilia Clarke Jai Courtney J.K. Simmons,Alan Taylor
109,Adventure Family Fantasy,,10140,based on novel magic good vs evil king narnia,en,49.661984,2010,The Chronicles of Narnia: The Voyage of the Dawn Treader,Skandar Keynes Georgie Henley Simon Pegg Gary Sweet Arthur Angel,Michael Apted
110,History Romance War,,676,nurse patriotism hawaii world war ii pilot,en,34.20669,2001,Pearl Harbor,Ben Affleck Josh Hartnett Kate Beckinsale Cuba Gooding Jr. Jon Voight,Michael Bay
111,Adventure Science Fiction Action,http://www.transformersmovie.com/,1858,destroy transformation alien based on toy transformers,en,25.468493,2007,Transformers,Shia LaBeouf Josh Duhamel Megan Fox Rachael Taylor Tyrese Gibson,Michael Bay
112,War History Action Adventure Drama,,1966,aristotle egypt greece persia elephant,en,39.019229,2004,Alexander,Colin Farrell Angelina Jolie Val Kilmer Jared Leto Jonathan Rhys Meyers,Oliver Stone
113,Adventure Fantasy Family Mystery,http://www.harrypotterorderofthephoenix.com/,675,prophecy witch loss of lover magic cutting the cord,en,78.144395,2007,Harry Potter and the Order of the Phoenix,Daniel Radcliffe Rupert Grint Emma Watson Michael Gambon Ralph Fiennes,David Yates
114,Adventure Fantasy Family,http://harrypotter.warnerbros.com/,674,magic dying and death broom sorcerer's apprentice school of witchcraft,en,101.250416,2005,Harry Potter and the Goblet of Fire,Daniel Radcliffe Rupert Grint Emma Watson Ralph Fiennes Michael Gambon,Mike Newell
115,Fantasy Action,http://www.sonypictures.com/movies/hancock/,8960,flying alcohol love of one's life forbidden love lovers,en,56.758411,2008,Hancock,Will Smith Charlize Theron Jason Bateman Jae Head Eddie Marsan,Peter Berg
116,Drama Horror Action Thriller Science Fiction,http://iamlegend.warnerbros.com/,6479,saving the world lost civilisation post-apocalyptic dystopia matter of life and death,en,70.867401,2007,I Am Legend,Will Smith Alice Braga Charlie Tahan Salli Richardson-Whitfield Willow Smith,Francis Lawrence
